geonameid;name;asciiname;latitude;longitude;feature code;country code;admin1 code;admin2 code;population;modification date
3131325;Voss;Voss;60.6278;6.41831;ADM2;NO;07;1235;13868;2010-12-07
3131447;Volda;Volda;62.14678;6.068;ADM2;NO;08;1519;8509;2014-07-10
3131656;Vikna;Vikna;64.86362;11.24198;ADM2;NO;10;1750;4100;2012-05-27
3131675;Vik;Vik;61.08863;6.58512;ADM2;NO;15;1417;2780;2014-02-02
3131900;Vevelstad;Vevelstad;65.70002;12.43921;ADM2;NO;09;1816;501;2014-02-02
3131957;Vestre Toten;Vestre Toten;60.72593;10.60764;ADM2;NO;11;0529;12714;2010-12-07
3131961;Vestre Slidre;Vestre Slidre;61.08842;8.98196;ADM2;NO;11;0543;2194;2010-12-07
3131969;Lillesand;Lillesand;58.24982;8.37848;ADM2;NO;02;0926;9329;2010-12-07
3132015;Vestfold fylke;Vestfold fylke;59.2654;10.4159;ADM1;NO;20;;236424;2017-09-21
3132050;Vestby;Vestby;59.60228;10.74807;ADM2;NO;01;0211;14095;2010-12-07
3132064;Vest-Agder Fylke;Vest-Agder Fylke;58.1513;7.9947;ADM1;NO;19;;161276;2017-11-21
3132142;Verran;Verran;64.071;11.21795;ADM2;NO;10;1724;2924;2010-12-07
3132178;Verdal;Verdal;63.90023;11.72724;ADM2;NO;10;1721;14157;2014-02-02
3132206;Vennesla;Vennesla;58.34271;7.97596;ADM2;NO;19;1014;12886;2010-12-07
3132337;Vegårshei;Vegarshei;58.75092;8.86453;ADM2;NO;02;0912;1881;2014-05-31
3132346;Vefsn;Vefsn;65.84109;13.20024;ADM2;NO;09;1824;13342;2010-12-07
3132715;Vanylven;Vanylven;62.10003;5.55827;ADM2;NO;08;1511;3494;2010-12-07
3132848;Valle;Valle;59.21194;7.53341;ADM2;NO;02;0940;1292;2010-12-07
3132904;Re;Re;59.35056;10.24763;ADM2;NO;20;0716;8527;2017-10-15
3133044;Vågan;Vagan;68.2322;14.56226;ADM2;NO;09;1865;8976;2010-12-07
3133054;Vågå;Vaga;61.87565;9.09572;ADM2;NO;11;0515;3707;2010-12-07
3133071;Værøy;Vaeroy;67.66374;12.69337;ADM2;NO;09;1857;738;2014-02-02
3133144;Utsira;Utsira;59.30565;4.88621;ADM2;NO;14;1151;214;2014-07-10
3133311;Ulvik;Ulvik;60.56719;6.91871;ADM2;NO;07;1233;1095;2014-02-02
3133350;Ulstein;Ulstein;62.34423;5.85241;ADM2;NO;08;1516;7052;2010-12-07
3133379;Ullensvang;Ullensvang;60.37501;6.72073;ADM2;NO;07;1231;3351;2010-12-07
3133381;Ullensaker;Ullensaker;60.14401;11.17441;ADM2;NO;01;0235;28138;2010-12-07
3133447;Tysvær;Tysvaer;59.42159;5.44781;ADM2;NO;14;1146;9712;2010-12-07
3133472;Tysnes;Tysnes;60.04076;5.53129;ADM2;NO;07;1223;2792;2014-07-10
3133482;Tysfjord;Tysfjord;68.09772;16.37591;ADM2;NO;09;1850;2046;2010-12-07
3133497;Tynset;Tynset;62.27387;10.77626;ADM2;NO;06;0437;5400;2014-07-10
3133517;Tydal;Tydal;63.04477;11.65038;ADM2;NO;16;1665;857;2010-12-07
3133680;Tvedestrand;Tvedestrand;58.62616;8.92637;ADM2;NO;02;0914;5939;2014-07-10
3133817;Trysil;Trysil;61.31549;12.26422;ADM2;NO;06;0428;6749;2010-12-07
3133881;Trondheim;Trondheim;63.42811;10.39687;ADM2;NO;16;1601;168257;2014-07-11
3133897;Troms Fylke;Troms Fylke;69.26591;19.51504;ADM1;NO;18;;152741;2017-09-21
3133977;Trøgstad;Trogstad;59.64016;11.3189;ADM2;NO;13;0122;5047;2010-12-07
3134052;Tranøy;Tranoy;69.17022;17.7348;ADM2;NO;18;1927;1537;2014-02-02
3134084;Træna;Traena;66.50159;12.09645;ADM2;NO;09;1835;455;2010-12-07
3134206;Torsken;Torsken;69.36184;17.05384;ADM2;NO;18;1928;916;2014-02-02
3134520;Tjøme;Tjome;59.11087;10.39326;ADM2;NO;20;0723;4663;2010-12-07
3134549;Tjeldsund;Tjeldsund;68.55557;16.36172;ADM2;NO;09;1852;1333;2010-12-07
3134592;Tinn;Tinn;59.83486;9.13528;ADM2;NO;17;0826;6010;2014-02-02
3134596;Tingvoll;Tingvoll;62.91194;8.20673;ADM2;NO;08;1560;3062;2014-07-10
3134627;Time;Time;58.73636;5.65297;ADM2;NO;14;1121;15836;2014-02-02
3134723;Telemark fylke;Telemark fylke;59.2161;9.6112;ADM1;NO;17;;170643;2017-09-21
3134983;Sykkylven;Sykkylven;62.38962;6.57825;ADM2;NO;08;1528;7565;2010-12-07
3135136;Sveio;Sveio;59.54303;5.3541;ADM2;NO;07;1216;4906;2014-06-08
3135358;Surnadal;Surnadal;62.97533;8.7249;ADM2;NO;08;1566;6000;2014-07-10
3135381;Sunndal;Sunndal;62.67464;8.56188;ADM2;NO;08;1563;7347;2010-12-07
3135436;Sund;Sund;60.27019;5.07225;ADM2;NO;07;1245;5899;2010-12-07
3135597;Stryn;Stryn;61.90406;6.724;ADM2;NO;15;1449;6844;2014-02-02
3135788;Strand;Strand;59.02353;6.04343;ADM2;NO;14;1130;11045;2014-06-08
3135806;Stranda;Stranda;62.31132;6.93115;ADM2;NO;08;1525;4533;2010-12-07
3136387;Stor-Elvdal;Stor-Elvdal;61.57198;11.04759;ADM2;NO;06;0430;2689;2010-12-07
3136522;Stord;Stord;59.78092;5.4998;ADM2;NO;07;1221;17289;2017-01-31
3136539;Stordal;Stordal;62.38214;6.98708;ADM2;NO;08;1526;1001;2014-07-10
3136717;Stokke;Stokke;59.22191;10.30045;ADM2H;NO;20;0720;10866;2017-09-20
3136768;Stjørdal;Stjordal;63.56699;11.0273;ADM2;NO;10;1714;20960;2014-02-02
3136944;Steinkjer;Steinkjer;64.19303;11.38505;ADM2;NO;10;1702;20868;2014-02-02
3137038;Steigen;Steigen;67.77625;15.01621;ADM2;NO;09;1848;2665;2010-12-07
3137167;Stange;Stange;60.71576;11.19069;ADM2;NO;06;0417;18982;2010-12-07
3137244;Spydeberg;Spydeberg;59.62028;11.08069;ADM2;NO;13;0123;5148;2014-02-02
